address,balance_lamports,balance_sol,data_size
kRtQAPrCQEcHRXHNn1YB2w6ATK7PiKYK9FbZyDzR1a9,459248640,0.45924864,65856
CJ5p6G5eg5xWJWHwNDozU2PFNEMLdS5AzQGSvGZmpfAp,459248640,0.45924864,65856
Cawni55pe9MUFMf4JV3JHW5hwebPLiEmr1F8uqAvmSFg,459248640,0.45924864,65856
3VdtjWkRf592ETQM1QqPGk5g9Vyd2TLgN9bVM9rx9e5p,459248640,0.45924864,65856
H1dVJHxHzeJPvk1i5Rdia9eAWZoow64cPKDp5S17yqxX,459248640,0.45924864,65856
7Q3yhZivWDFAqBsTNYN4eLEhHBJjdqpdwxfk4EL2oUZF,459248640,0.45924864,65856
3dNQRHRqh1DxPaRbh22qheZT6ur4Y6YVdmjvvmvcTiUW,459248640,0.45924864,65856
GiHDSWp7vyzpfhd9uNw3orLuLQLxWjFSWZV17WsYknko,459248640,0.45924864,65856
6HSsyFffqDYn7ZXqx3qFDzZK9Smkt78j7b9i339PMA91,459248640,0.45924864,65856
5cjZceZNPnkaryceoqFhJUmyvEysazn8TSjtizT34iAm,459248640,0.45924864,65856
G1A5cCJouDuEvumcdiek9SUPP41o9x3XHyhAkEiuL1o1,459248640,0.45924864,65856
6rCwETU4bHQBMiGCoHbggz4M658SHLscfPnK9i5Bc5gC,459248640,0.45924864,65856
8C1MnkjPLkQSUxtdMTsuw3Jsky35cnxkhAj8Tgu3BRux,459248640,0.45924864,65856
ASC5iwRZC3tZPgZkB56eox1JxPz3526MYTEw65sYP1m3,459248640,0.45924864,65856
EiNqojrZbR6kSMNaV9TdUCrSgpBp11c2iXMbNQauNMx7,459248640,0.45924864,65856
9k5xdir7K27dZnVaGJhjcYd71vo1PURDsgcFaBtuHQ5y,459248640,0.45924864,65856
2v2eCZsMKj9tZV45yoboKUhghixUnqRZNuvdyHThhdCH,459248640,0.45924864,65856
CQcF89VBWXXUCi7u1B2m6VyQXTJbjmj4USnNuLzu2V2p,459248640,0.45924864,65856
Ej9UCz18Spb6xRx8L3sT3vbyAq2dycRWCB2nemsB6K5X,459248640,0.45924864,65856
4J6b1fZ83b3rEb1L7TQ2zbzczjGrbx9mH7nfQsd3VWsw,459248640,0.45924864,65856
G7kSas1nRjMN5EDAShX5ymXujVoqWZC1rhx36qjsXHJt,459248640,0.45924864,65856
F6Vs3KAfymkUVJ9XchV5Hioh5wEXMeUkxPJ5RAMu3BeY,459248640,0.45924864,65856
89xzGPk4xDzpqe7PQbXRrEPPrnCe6pYJNanQA7yaBnuU,459248640,0.45924864,65856
9Qd35ACjxaXRCBdCUv1GvoGcbox5aqXxj1k538ii8wqb,459248640,0.45924864,65856
AY9qyVW7vGRFZS6Aigg9YRGhjv5xfVorFSbTQ5SYQJVm,459248640,0.45924864,65856
BNgCG3e5xh52tkBBuWMPMjNanPimTVMNdsTjG6v2e7uC,459248640,0.45924864,65856
HRKsWXCWJ5yUivADjjnfcbXXa9joCFSFtc3G7HcSqAmY,459248640,0.45924864,65856
